Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering
EST,,,178,189,367,178,189,367,2,0.876494,0.929545,0.00185,0.076007,0.079622,0.760063
ETH,,,168,171,339,168,171,339,2,0.817844,0.888636,0.000979,0.072964,0.074831,0.834568
GEO,,,166,167,333,166,167,333,2,0.805861,0.879545,0.000853,0.072402,0.07365,0.815255
GHA,,,185,176,361,185,176,361,2,0.833333,0.9,0.001466,0.078114,0.076149,0.786022
GMB,,,172,140,312,172,140,312,2,0.733333,0.818182,0.000806,0.073459,0.062911,0.793008
GRL,,,128,81,209,128,81,209,2,0.612813,0.684091,0.000085,0.058171,0.039146,0.905427
HUN,,,176,200,376,176,200,376,2,0.916667,0.954545,0.001909,0.076056,0.082361,0.759353
IRQ,,,124,110,234,124,110,234,2,0.666667,0.75,0.000067,0.057994,0.052027,0.957553
ISL,,,156,188,344,156,188,344,2,0.873016,0.927273,0.001041,0.069611,0.079512,0.800668
KEN,,,173,182,355,173,182,355,2,0.852713,0.913636,0.001363,0.074693,0.077557,0.793359
KGZ,,,139,126,265,139,126,265,2,0.700637,0.786364,0.000277,0.062528,0.057717,0.882533
KHM,,,162,183,345,162,183,345,2,0.856031,0.915909,0.001323,0.070122,0.078088,0.774798
LAO,,,107,138,245,107,138,245,2,0.728477,0.813636,0.000136,0.050394,0.063281,0.904453
LVA,,,162,197,359,162,197,359,2,0.90535,0.947727,0.001574,0.071007,0.081411,0.762246
MDA,,,170,150,320,170,150,320,2,0.758621,0.840909,0.000799,0.073336,0.066814,0.806022
MDG,,,165,175,340,165,175,340,2,0.830189,0.897727,0.00111,0.071506,0.075862,0.798925
MLI,,,155,158,313,155,158,313,2,0.780142,0.859091,0.000638,0.068727,0.070166,0.828826
MLT,,,163,184,347,163,184,347,2,0.859375,0.918182,0.001141,0.071042,0.078643,0.800947
MMR,,,160,151,311,160,151,311,2,0.761246,0.843182,0.00081,0.068889,0.067458,0.796673
MNG,,,131,122,253,131,122,253,2,0.691824,0.777273,0.000187,0.060082,0.056754,0.907696
MRT,,,182,157,339,182,157,339,2,0.777385,0.856818,0.001055,0.07708,0.06975,0.788151
MUS,,,187,186,373,187,186,373,2,0.866142,0.922727,0.001853,0.078719,0.078673,0.753756
MWI,,,168,172,340,168,172,340,2,0.820896,0.890909,0.001317,0.072455,0.073439,0.774705
NER,,,170,155,325,170,155,325,2,0.77193,0.852273,0.000977,0.073172,0.068453,0.808595
NPL,,,175,174,349,175,174,349,2,0.827068,0.895455,0.001378,0.074725,0.074759,0.770764
OMN,,,145,172,317,145,172,317,2,0.820896,0.890909,0.00051,0.065857,0.075396,0.856322
PNG,,,164,130,294,164,130,294,2,0.709677,0.795455,0.000805,0.070556,0.057894,0.818457
PYF,,,154,100,254,154,100,254,2,0.647059,0.727273,0.000551,0.067552,0.04482,0.833047
SRB,,,193,186,379,193,186,379,2,0.866142,0.922727,0.001951,0.08074,0.078373,0.748159
TJK,,,91,103,194,91,103,194,2,0.652819,0.734091,0.000026,0.043776,0.048679,0.964997
TKM,,,98,104,202,98,104,202,2,0.654762,0.736364,0.000026,0.046838,0.049412,0.974359
TUN,,,179,180,359,179,180,359,2,0.846154,0.909091,0.001276,0.076473,0.077963,0.804402
VNM,,,177,189,366,177,189,366,2,0.876494,0.929545,0.001507,0.075884,0.080035,0.803023
ZWE,,,159,159,318,159,159,318,2,0.782918,0.861364,0.000728,0.069814,0.070668,0.826913
