"","Exporter","Importer","VoT","Quantity"
"203","ALB","PER",945210396.04,1.08212
"204","ALB","JAM",2604.5,0.477
"205","ALB","PHL",7345,0.115
"206","ALB","RUS",3455475008.54945,368.560291876898
"207","ALB","LKA",8215087250.6,14.6324
"208","ALB","BOL",3182422593.60606,3.92876949847879
"209","ALB","GHA",23423783346,11.9425
"210","ALB","CHE",7673098489.72201,17.5144969907425
"211","ALB","IND",9517356527.87097,408.419772206871
"212","ALB","ZMB",7329693127.66667,9.33966666666667
"213","ALB","KGZ",2239.5,0.7545
"214","ALB","BEN",297504588.583333,2.109625
"215","ALB","BHR",14317.2,1.5367
"216","ALB","MNE",14219179531.7871,486.463493814543
"217","ALB","GAB",134404,54.106
"218","ALB","YEM",886964223.888889,0.131333333333333
"219","ALB","IRN",73568.25,23.3135
"220","ALB","PYF",10925722774.3478,0.278
"221","ALB","QAT",219,0.0945
"222","ALB","BGR",13175566745.4,82.1341713281629
"223","ALB","ATF",15009,13.58
"224","ALB","KEN",18314589392,23.1273636363636
"225","ALB","ARE",2453668647.69565,204.679565217391
"226","ALB","BEL",7431253619.28889,25.3002637605564
"227","ALB","TUR",8017779433.25054,463.363534098698
"228","ALB","BDI",14440057123.5556,26.2681111111111
"229","ALB","FRA",8666002206.77675,47.6887511055039
"230","ALB","TJK",21885.25,2.83
"231","ALB","ARM",15094415698.4,31.5312
"232","ALB","FJI",1209,0.001
"233","ALB","NLD",7151836507.6535,300.030243151184
"234","ALB","UKR",1617124257.28571,17.4615996013214
"235","ALB","ETH",4270366454.33333,28.0766666666667
"236","ALB","CZE",8023829553.61137,13.1319071649346
"237","ALB","SYR",3505345820.56,34.32728
"238","ALB","UGA",17918028103,35.1376666666667
"239","ALB","KOR",2580234862.21277,145.239446808511
"240","ALB","BLR",67.6666666666667,0.731833333333333
"241","ALB","NER",1302611961.85714,1.25542857142857
"242","ALB","COG",1017374959.14286,4.48121428571429
"243","ALB","BHS",3465,2.97
"244","ALB","ZWE",4154.25,1.92675
"245","ALB","BRA",9158145281.35065,27.5511890815325
"246","ALB","KHM",8485738166,11.7726923076923
"247","ALB","SHN",5571.25,13.5685
"248","ALB","GTM",5993555256.18182,4.09490909090909
"249","ALB","ZAF",1979299068.34483,4.03901904182759
"250","ALB","SEN",27308,6.682
"251","ALB","CYP",10697932160.6087,272.886325883509
"252","ALB","BIH",10856272746.2289,85.8499723458741
"253","ALB","CAN",3876760740.01053,2.51962552058316
"254","ALB","SGP",22332.8666666667,5.84266666666667
"255","ALB","MSR",5306,16.02
"256","ALB","N/A",2624,0.03175
"257","ALB","MWI",5439381612,1.14225
"258","ALB","BGD",9206877214.8,1398.5686
"259","ALB","BRN",2855,0.236
"260","ALB","HND",5641872167.80189,9.54542452830189
"261","ALB","MYS",6519252610.34615,19.9197769266788
"262","ALB","ARG",15163302493.1538,5.36430769230769
"263","ALB","ISR",663180043.366667,1.95793333333333
"264","ALB","IRL",1787604842.75294,134.106590501231
"265","ALB","ISL",7237.03703703704,0.267
"266","ALB","LBY",217621.8,4042.5208
"267","ALB","GRL",3201,0.0415
"268","ALB","CHL",12120977487.2857,0.529809523809524
"269","ALB","BFA",13526036358.5714,9.68357142857143
"270","ALB","SWE",5460749349.39474,2945.2098413728
"271","ALB","TZA",5648633943.33333,0.574666666666667
"272","ALB","CHN",4532260983.625,4472.28647464425
"273","ALB","AFG",2057713,93661.205
"274","ALB","HUN",9462767980.78572,73.6562808321056
"275","ALB","IOT",29897.25,2.628
"276","ALB","DMA",14154335840.4286,0.702952380952381
"277","ALB","KAZ",4412852311.9,4.74856748276
"278","ALB","ESP",6755350284.06369,149.550295798492
"279","ALB","ECU",5849536801.8,0.2389
